ExpenseKey,DateKey,BusinessUnitKey,ExpenseAccountKey,ExpenseAmount,PaymentMethodKey,Description,ReferenceNumber
76,20230108,2,9,189.29,1,Packaging GR — 08 January 2023,EXP-20230108-09-BU2
77,20230109,2,9,147.72,1,Packaging GR — 09 January 2023,EXP-20230109-09-BU2
78,20230110,2,9,155.91,1,Packaging GR — 10 January 2023,EXP-20230110-09-BU2
79,20230111,2,9,152.85,1,Packaging GR — 11 January 2023,EXP-20230111-09-BU2
80,20230112,2,9,222.91,1,Packaging GR — 12 January 2023,EXP-20230112-09-BU2
81,20230113,2,9,139.37,1,Packaging GR — 13 January 2023,EXP-20230113-09-BU2
82,20230114,2,9,206.01,1,Packaging GR — 14 January 2023,EXP-20230114-09-BU2
83,20230115,2,9,175.17,1,Packaging GR — 15 January 2023,EXP-20230115-09-BU2
84,20230116,2,9,211.28,1,Packaging GR — 16 January 2023,EXP-20230116-09-BU2
85,20230117,2,9,221.74,1,Packaging GR — 17 January 2023,EXP-20230117-09-BU2
86,20230118,2,9,219.59,1,Packaging GR — 18 January 2023,EXP-20230118-09-BU2
87,20230119,2,9,208.57,1,Packaging GR — 19 January 2023,EXP-20230119-09-BU2
88,20230120,2,9,163.09,1,Packaging GR — 20 January 2023,EXP-20230120-09-BU2
89,20230121,2,9,148.4,1,Packaging GR — 21 January 2023,EXP-20230121-09-BU2
90,20230122,2,9,153.38,1,Packaging GR — 22 January 2023,EXP-20230122-09-BU2
91,20230123,2,9,187.81,1,Packaging GR — 23 January 2023,EXP-20230123-09-BU2
92,20230124,2,9,155.69,1,Packaging GR — 24 January 2023,EXP-20230124-09-BU2
93,20230125,2,9,165.29,1,Packaging GR — 25 January 2023,EXP-20230125-09-BU2
94,20230126,2,9,128.63,1,Packaging GR — 26 January 2023,EXP-20230126-09-BU2
95,20230127,2,9,199.98,1,Packaging GR — 27 January 2023,EXP-20230127-09-BU2
96,20230128,2,9,131.91,1,Packaging GR — 28 January 2023,EXP-20230128-09-BU2
97,20230129,2,9,155.19,1,Packaging GR — 29 January 2023,EXP-20230129-09-BU2
98,20230130,2,9,181.34,1,Packaging GR — 30 January 2023,EXP-20230130-09-BU2
99,20230131,2,9,175.22,1,Packaging GR — 31 January 2023,EXP-20230131-09-BU2
100,20230105,2,10,9334.72,2,Cold Storage — January 2023,EXP-20230105-10-BU2
101,20230110,1,11,4950.43,2,Building Maintenance — January 2023,EXP-20230110-11-BU1
102,20230110,2,11,4950.43,2,Building Maintenance — January 2023,EXP-20230110-11-BU2
103,20230101,1,12,4714.72,2,Security Services — January 2023,EXP-20230101-12-BU1
104,20230101,2,12,4714.72,2,Security Services — January 2023,EXP-20230101-12-BU2
105,20230105,1,13,2085.95,2,Internet & Phone — January 2023,EXP-20230105-13-BU1
106,20230105,2,13,2085.95,2,Internet & Phone — January 2023,EXP-20230105-13-BU2
107,20230101,1,14,101.42,1,Miscellaneous — 01 January 2023,EXP-20230101-14-BU1
108,20230102,1,14,89.88,1,Miscellaneous — 02 January 2023,EXP-20230102-14-BU1
109,20230103,1,14,96.3,1,Miscellaneous — 03 January 2023,EXP-20230103-14-BU1
110,20230104,1,14,72.39,1,Miscellaneous — 04 January 2023,EXP-20230104-14-BU1
111,20230105,1,14,63.96,1,Miscellaneous — 05 January 2023,EXP-20230105-14-BU1
112,20230106,1,14,94.05,1,Miscellaneous — 06 January 2023,EXP-20230106-14-BU1
113,20230107,1,14,65.01,1,Miscellaneous — 07 January 2023,EXP-20230107-14-BU1
114,20230108,1,14,98.52,1,Miscellaneous — 08 January 2023,EXP-20230108-14-BU1
115,20230109,1,14,103.88,1,Miscellaneous — 09 January 2023,EXP-20230109-14-BU1
116,20230110,1,14,71.38,1,Miscellaneous — 10 January 2023,EXP-20230110-14-BU1
117,20230111,1,14,94.92,1,Miscellaneous — 11 January 2023,EXP-20230111-14-BU1
118,20230112,1,14,78.98,1,Miscellaneous — 12 January 2023,EXP-20230112-14-BU1
119,20230113,1,14,72.17,1,Miscellaneous — 13 January 2023,EXP-20230113-14-BU1
120,20230114,1,14,78.67,1,Miscellaneous — 14 January 2023,EXP-20230114-14-BU1
121,20230115,1,14,89.29,1,Miscellaneous — 15 January 2023,EXP-20230115-14-BU1
122,20230116,1,14,106.1,1,Miscellaneous — 16 January 2023,EXP-20230116-14-BU1
123,20230117,1,14,72.22,1,Miscellaneous — 17 January 2023,EXP-20230117-14-BU1
124,20230118,1,14,92.2,1,Miscellaneous — 18 January 2023,EXP-20230118-14-BU1
125,20230119,1,14,73.93,1,Miscellaneous — 19 January 2023,EXP-20230119-14-BU1
126,20230120,1,14,69.82,1,Miscellaneous — 20 January 2023,EXP-20230120-14-BU1
127,20230121,1,14,88.56,1,Miscellaneous — 21 January 2023,EXP-20230121-14-BU1
128,20230122,1,14,94.93,1,Miscellaneous — 22 January 2023,EXP-20230122-14-BU1
129,20230123,1,14,92.77,1,Miscellaneous — 23 January 2023,EXP-20230123-14-BU1
130,20230124,1,14,103.86,1,Miscellaneous — 24 January 2023,EXP-20230124-14-BU1
131,20230125,1,14,62.73,1,Miscellaneous — 25 January 2023,EXP-20230125-14-BU1
132,20230126,1,14,84.07,1,Miscellaneous — 26 January 2023,EXP-20230126-14-BU1
133,20230127,1,14,71.77,1,Miscellaneous — 27 January 2023,EXP-20230127-14-BU1
134,20230128,1,14,97.67,1,Miscellaneous — 28 January 2023,EXP-20230128-14-BU1
135,20230129,1,14,60.5,1,Miscellaneous — 29 January 2023,EXP-20230129-14-BU1
136,20230130,1,14,66.1,1,Miscellaneous — 30 January 2023,EXP-20230130-14-BU1
137,20230131,1,14,95.42,1,Miscellaneous — 31 January 2023,EXP-20230131-14-BU1
138,20230101,2,14,74.29,1,Miscellaneous — 01 January 2023,EXP-20230101-14-BU2
139,20230102,2,14,90.27,1,Miscellaneous — 02 January 2023,EXP-20230102-14-BU2
140,20230103,2,14,105.73,1,Miscellaneous — 03 January 2023,EXP-20230103-14-BU2
141,20230104,2,14,79.43,1,Miscellaneous — 04 January 2023,EXP-20230104-14-BU2
142,20230105,2,14,83.0,1,Miscellaneous — 05 January 2023,EXP-20230105-14-BU2
143,20230106,2,14,104.6,1,Miscellaneous — 06 January 2023,EXP-20230106-14-BU2
144,20230107,2,14,93.42,1,Miscellaneous — 07 January 2023,EXP-20230107-14-BU2
145,20230108,2,14,66.58,1,Miscellaneous — 08 January 2023,EXP-20230108-14-BU2
146,20230109,2,14,96.25,1,Miscellaneous — 09 January 2023,EXP-20230109-14-BU2
147,20230110,2,14,82.16,1,Miscellaneous — 10 January 2023,EXP-20230110-14-BU2
148,20230111,2,14,95.42,1,Miscellaneous — 11 January 2023,EXP-20230111-14-BU2
149,20230112,2,14,86.2,1,Miscellaneous — 12 January 2023,EXP-20230112-14-BU2
150,20230113,2,14,68.07,1,Miscellaneous — 13 January 2023,EXP-20230113-14-BU2
151,20230114,2,14,96.74,1,Miscellaneous — 14 January 2023,EXP-20230114-14-BU2
152,20230115,2,14,57.07,1,Miscellaneous — 15 January 2023,EXP-20230115-14-BU2
153,20230116,2,14,100.34,1,Miscellaneous — 16 January 2023,EXP-20230116-14-BU2
154,20230117,2,14,96.95,1,Miscellaneous — 17 January 2023,EXP-20230117-14-BU2
155,20230118,2,14,104.35,1,Miscellaneous — 18 January 2023,EXP-20230118-14-BU2
156,20230119,2,14,58.71,1,Miscellaneous — 19 January 2023,EXP-20230119-14-BU2
157,20230120,2,14,78.34,1,Miscellaneous — 20 January 2023,EXP-20230120-14-BU2
158,20230121,2,14,65.23,1,Miscellaneous — 21 January 2023,EXP-20230121-14-BU2
159,20230122,2,14,75.23,1,Miscellaneous — 22 January 2023,EXP-20230122-14-BU2
160,20230123,2,14,74.54,1,Miscellaneous — 23 January 2023,EXP-20230123-14-BU2
161,20230124,2,14,86.15,1,Miscellaneous — 24 January 2023,EXP-20230124-14-BU2
162,20230125,2,14,78.33,1,Miscellaneous — 25 January 2023,EXP-20230125-14-BU2
163,20230126,2,14,104.12,1,Miscellaneous — 26 January 2023,EXP-20230126-14-BU2
164,20230127,2,14,70.54,1,Miscellaneous — 27 January 2023,EXP-20230127-14-BU2
165,20230128,2,14,77.42,1,Miscellaneous — 28 January 2023,EXP-20230128-14-BU2
166,20230129,2,14,91.19,1,Miscellaneous — 29 January 2023,EXP-20230129-14-BU2
167,20230130,2,14,70.48,1,Miscellaneous — 30 January 2023,EXP-20230130-14-BU2
168,20230131,2,14,92.32,1,Miscellaneous — 31 January 2023,EXP-20230131-14-BU2
169,20230101,1,15,84.08,1,Vehicle Fuel — 01 January 2023,EXP-20230101-15-BU1
170,20230102,1,15,84.24,1,Vehicle Fuel — 02 January 2023,EXP-20230102-15-BU1
171,20230103,1,15,82.57,1,Vehicle Fuel — 03 January 2023,EXP-20230103-15-BU1
172,20230104,1,15,88.95,1,Vehicle Fuel — 04 January 2023,EXP-20230104-15-BU1
173,20230105,1,15,96.91,1,Vehicle Fuel — 05 January 2023,EXP-20230105-15-BU1
174,20230106,1,15,54.79,1,Vehicle Fuel — 06 January 2023,EXP-20230106-15-BU1
175,20230107,1,15,74.59,1,Vehicle Fuel — 07 January 2023,EXP-20230107-15-BU1
176,20230108,1,15,88.76,1,Vehicle Fuel — 08 January 2023,EXP-20230108-15-BU1
177,20230109,1,15,52.31,1,Vehicle Fuel — 09 January 2023,EXP-20230109-15-BU1
178,20230110,1,15,76.75,1,Vehicle Fuel — 10 January 2023,EXP-20230110-15-BU1
179,20230111,1,15,81.88,1,Vehicle Fuel — 11 January 2023,EXP-20230111-15-BU1
180,20230112,1,15,60.9,1,Vehicle Fuel — 12 January 2023,EXP-20230112-15-BU1
181,20230113,1,15,70.27,1,Vehicle Fuel — 13 January 2023,EXP-20230113-15-BU1
182,20230114,1,15,87.7,1,Vehicle Fuel — 14 January 2023,EXP-20230114-15-BU1
183,20230115,1,15,55.29,1,Vehicle Fuel — 15 January 2023,EXP-20230115-15-BU1
184,20230116,1,15,58.35,1,Vehicle Fuel — 16 January 2023,EXP-20230116-15-BU1
185,20230117,1,15,88.98,1,Vehicle Fuel — 17 January 2023,EXP-20230117-15-BU1
186,20230118,1,15,88.58,1,Vehicle Fuel — 18 January 2023,EXP-20230118-15-BU1
187,20230119,1,15,78.77,1,Vehicle Fuel — 19 January 2023,EXP-20230119-15-BU1
188,20230120,1,15,70.96,1,Vehicle Fuel — 20 January 2023,EXP-20230120-15-BU1
189,20230121,1,15,57.04,1,Vehicle Fuel — 21 January 2023,EXP-20230121-15-BU1
190,20230122,1,15,88.68,1,Vehicle Fuel — 22 January 2023,EXP-20230122-15-BU1
191,20230123,1,15,63.14,1,Vehicle Fuel — 23 January 2023,EXP-20230123-15-BU1
192,20230124,1,15,93.25,1,Vehicle Fuel — 24 January 2023,EXP-20230124-15-BU1
193,20230125,1,15,87.09,1,Vehicle Fuel — 25 January 2023,EXP-20230125-15-BU1
194,20230126,1,15,55.93,1,Vehicle Fuel — 26 January 2023,EXP-20230126-15-BU1
195,20230127,1,15,80.8,1,Vehicle Fuel — 27 January 2023,EXP-20230127-15-BU1
196,20230128,1,15,93.58,1,Vehicle Fuel — 28 January 2023,EXP-20230128-15-BU1
197,20230129,1,15,91.72,1,Vehicle Fuel — 29 January 2023,EXP-20230129-15-BU1
198,20230130,1,15,79.8,1,Vehicle Fuel — 30 January 2023,EXP-20230130-15-BU1
199,20230131,1,15,60.02,1,Vehicle Fuel — 31 January 2023,EXP-20230131-15-BU1
200,20230101,2,15,87.7,1,Vehicle Fuel — 01 January 2023,EXP-20230101-15-BU2
201,20230102,2,15,87.03,1,Vehicle Fuel — 02 January 2023,EXP-20230102-15-BU2
202,20230103,2,15,83.36,1,Vehicle Fuel — 03 January 2023,EXP-20230103-15-BU2
203,20230104,2,15,68.02,1,Vehicle Fuel — 04 January 2023,EXP-20230104-15-BU2
204,20230105,2,15,98.15,1,Vehicle Fuel — 05 January 2023,EXP-20230105-15-BU2
205,20230106,2,15,79.27,1,Vehicle Fuel — 06 January 2023,EXP-20230106-15-BU2
206,20230107,2,15,69.51,1,Vehicle Fuel — 07 January 2023,EXP-20230107-15-BU2
207,20230108,2,15,67.52,1,Vehicle Fuel — 08 January 2023,EXP-20230108-15-BU2
208,20230109,2,15,68.75,1,Vehicle Fuel — 09 January 2023,EXP-20230109-15-BU2
209,20230110,2,15,77.3,1,Vehicle Fuel — 10 January 2023,EXP-20230110-15-BU2
210,20230111,2,15,66.36,1,Vehicle Fuel — 11 January 2023,EXP-20230111-15-BU2
211,20230112,2,15,79.97,1,Vehicle Fuel — 12 January 2023,EXP-20230112-15-BU2
212,20230113,2,15,64.52,1,Vehicle Fuel — 13 January 2023,EXP-20230113-15-BU2
213,20230114,2,15,68.27,1,Vehicle Fuel — 14 January 2023,EXP-20230114-15-BU2
214,20230115,2,15,61.08,1,Vehicle Fuel — 15 January 2023,EXP-20230115-15-BU2
215,20230116,2,15,72.37,1,Vehicle Fuel — 16 January 2023,EXP-20230116-15-BU2
216,20230117,2,15,74.68,1,Vehicle Fuel — 17 January 2023,EXP-20230117-15-BU2
217,20230118,2,15,74.57,1,Vehicle Fuel — 18 January 2023,EXP-20230118-15-BU2
218,20230119,2,15,89.82,1,Vehicle Fuel — 19 January 2023,EXP-20230119-15-BU2
219,20230120,2,15,78.35,1,Vehicle Fuel — 20 January 2023,EXP-20230120-15-BU2
220,20230121,2,15,88.31,1,Vehicle Fuel — 21 January 2023,EXP-20230121-15-BU2
221,20230122,2,15,56.97,1,Vehicle Fuel — 22 January 2023,EXP-20230122-15-BU2
222,20230123,2,15,76.13,1,Vehicle Fuel — 23 January 2023,EXP-20230123-15-BU2
223,20230124,2,15,59.67,1,Vehicle Fuel — 24 January 2023,EXP-20230124-15-BU2
224,20230125,2,15,77.34,1,Vehicle Fuel — 25 January 2023,EXP-20230125-15-BU2
225,20230126,2,15,84.62,1,Vehicle Fuel — 26 January 2023,EXP-20230126-15-BU2
226,20230127,2,15,93.24,1,Vehicle Fuel — 27 January 2023,EXP-20230127-15-BU2
227,20230128,2,15,81.53,1,Vehicle Fuel — 28 January 2023,EXP-20230128-15-BU2
228,20230129,2,15,73.42,1,Vehicle Fuel — 29 January 2023,EXP-20230129-15-BU2
229,20230130,2,15,67.96,1,Vehicle Fuel — 30 January 2023,EXP-20230130-15-BU2
230,20230131,2,15,100.89,1,Vehicle Fuel — 31 January 2023,EXP-20230131-15-BU2
231,20230201,1,1,26086.38,2,Shop Rent SC — February 2023,EXP-20230201-01-BU1
232,20230225,1,2,50695.15,2,Staff Salaries SC — February 2023,EXP-20230225-02-BU1
233,20230215,1,3,11160.75,2,Electricity SC — February 2023,EXP-20230215-03-BU1
234,20230201,1,4,232.36,1,Display & Decoration — 01 February 2023,EXP-20230201-04-BU1
235,20230202,1,4,205.82,1,Display & Decoration — 02 February 2023,EXP-20230202-04-BU1
236,20230203,1,4,220.03,1,Display & Decoration — 03 February 2023,EXP-20230203-04-BU1
237,20230204,1,4,368.41,1,Display & Decoration — 04 February 2023,EXP-20230204-04-BU1
238,20230205,1,4,352.85,1,Display & Decoration — 05 February 2023,EXP-20230205-04-BU1
239,20230206,1,4,253.12,1,Display & Decoration — 06 February 2023,EXP-20230206-04-BU1
240,20230207,1,4,199.26,1,Display & Decoration — 07 February 2023,EXP-20230207-04-BU1
241,20230208,1,4,329.21,1,Display & Decoration — 08 February 2023,EXP-20230208-04-BU1
242,20230209,1,4,249.76,1,Display & Decoration — 09 February 2023,EXP-20230209-04-BU1
243,20230210,1,4,202.37,1,Display & Decoration — 10 February 2023,EXP-20230210-04-BU1
244,20230211,1,4,276.33,1,Display & Decoration — 11 February 2023,EXP-20230211-04-BU1
245,20230212,1,4,270.81,1,Display & Decoration — 12 February 2023,EXP-20230212-04-BU1
246,20230213,1,4,260.19,1,Display & Decoration — 13 February 2023,EXP-20230213-04-BU1
247,20230214,1,4,309.83,1,Display & Decoration — 14 February 2023,EXP-20230214-04-BU1
248,20230215,1,4,322.19,1,Display & Decoration — 15 February 2023,EXP-20230215-04-BU1
249,20230216,1,4,293.79,1,Display & Decoration — 16 February 2023,EXP-20230216-04-BU1
250,20230217,1,4,200.98,1,Display & Decoration — 17 February 2023,EXP-20230217-04-BU1
251,20230218,1,4,202.42,1,Display & Decoration — 18 February 2023,EXP-20230218-04-BU1
252,20230219,1,4,348.7,1,Display & Decoration — 19 February 2023,EXP-20230219-04-BU1
253,20230220,1,4,230.34,1,Display & Decoration — 20 February 2023,EXP-20230220-04-BU1
254,20230221,1,4,266.37,1,Display & Decoration — 21 February 2023,EXP-20230221-04-BU1
255,20230222,1,4,216.23,1,Display & Decoration — 22 February 2023,EXP-20230222-04-BU1
256,20230223,1,4,237.64,1,Display & Decoration — 23 February 2023,EXP-20230223-04-BU1
257,20230224,1,4,281.23,1,Display & Decoration — 24 February 2023,EXP-20230224-04-BU1
258,20230225,1,4,238.7,1,Display & Decoration — 25 February 2023,EXP-20230225-04-BU1
259,20230226,1,4,310.8,1,Display & Decoration — 26 February 2023,EXP-20230226-04-BU1
260,20230227,1,4,261.13,1,Display & Decoration — 27 February 2023,EXP-20230227-04-BU1
261,20230228,1,4,332.85,1,Display & Decoration — 28 February 2023,EXP-20230228-04-BU1
262,20230201,1,5,89.12,1,Packaging SC — 01 February 2023,EXP-20230201-05-BU1
263,20230202,1,5,71.58,1,Packaging SC — 02 February 2023,EXP-20230202-05-BU1
264,20230203,1,5,99.52,1,Packaging SC — 03 February 2023,EXP-20230203-05-BU1
265,20230204,1,5,105.75,1,Packaging SC — 04 February 2023,EXP-20230204-05-BU1
266,20230205,1,5,64.83,1,Packaging SC — 05 February 2023,EXP-20230205-05-BU1
267,20230206,1,5,92.53,1,Packaging SC — 06 February 2023,EXP-20230206-05-BU1
268,20230207,1,5,90.57,1,Packaging SC — 07 February 2023,EXP-20230207-05-BU1
269,20230208,1,5,92.53,1,Packaging SC — 08 February 2023,EXP-20230208-05-BU1
270,20230209,1,5,60.36,1,Packaging SC — 09 February 2023,EXP-20230209-05-BU1
271,20230210,1,5,60.2,1,Packaging SC — 10 February 2023,EXP-20230210-05-BU1
272,20230211,1,5,73.64,1,Packaging SC — 11 February 2023,EXP-20230211-05-BU1
273,20230212,1,5,62.83,1,Packaging SC — 12 February 2023,EXP-20230212-05-BU1
274,20230213,1,5,77.23,1,Packaging SC — 13 February 2023,EXP-20230213-05-BU1
275,20230214,1,5,102.75,1,Packaging SC — 14 February 2023,EXP-20230214-05-BU1
276,20230215,1,5,76.65,1,Packaging SC — 15 February 2023,EXP-20230215-05-BU1
277,20230216,1,5,78.58,1,Packaging SC — 16 February 2023,EXP-20230216-05-BU1
278,20230217,1,5,72.27,1,Packaging SC — 17 February 2023,EXP-20230217-05-BU1
279,20230218,1,5,80.03,1,Packaging SC — 18 February 2023,EXP-20230218-05-BU1
280,20230219,1,5,98.97,1,Packaging SC — 19 February 2023,EXP-20230219-05-BU1
281,20230220,1,5,100.65,1,Packaging SC — 20 February 2023,EXP-20230220-05-BU1
282,20230221,1,5,80.0,1,Packaging SC — 21 February 2023,EXP-20230221-05-BU1
283,20230222,1,5,78.78,1,Packaging SC — 22 February 2023,EXP-20230222-05-BU1
284,20230223,1,5,68.61,1,Packaging SC — 23 February 2023,EXP-20230223-05-BU1
285,20230224,1,5,107.94,1,Packaging SC — 24 February 2023,EXP-20230224-05-BU1
286,20230225,1,5,74.46,1,Packaging SC — 25 February 2023,EXP-20230225-05-BU1
287,20230226,1,5,76.05,1,Packaging SC — 26 February 2023,EXP-20230226-05-BU1
288,20230227,1,5,80.45,1,Packaging SC — 27 February 2023,EXP-20230227-05-BU1
289,20230228,1,5,62.84,1,Packaging SC — 28 February 2023,EXP-20230228-05-BU1
290,20230201,2,6,21043.13,2,Shop Rent GR — February 2023,EXP-20230201-06-BU2
291,20230225,2,7,45529.07,2,Staff Salaries GR — February 2023,EXP-20230225-07-BU2
292,20230215,2,8,6192.35,2,Electricity GR — February 2023,EXP-20230215-08-BU2
293,20230201,2,9,181.49,1,Packaging GR — 01 February 2023,EXP-20230201-09-BU2
294,20230202,2,9,254.57,1,Packaging GR — 02 February 2023,EXP-20230202-09-BU2
295,20230203,2,9,150.65,1,Packaging GR — 03 February 2023,EXP-20230203-09-BU2
296,20230204,2,9,170.81,1,Packaging GR — 04 February 2023,EXP-20230204-09-BU2
297,20230205,2,9,168.05,1,Packaging GR — 05 February 2023,EXP-20230205-09-BU2
298,20230206,2,9,170.15,1,Packaging GR — 06 February 2023,EXP-20230206-09-BU2
299,20230207,2,9,257.49,1,Packaging GR — 07 February 2023,EXP-20230207-09-BU2
300,20230208,2,9,227.62,1,Packaging GR — 08 February 2023,EXP-20230208-09-BU2
301,20230209,2,9,253.26,1,Packaging GR — 09 February 2023,EXP-20230209-09-BU2
